event,date,person,quote,Positive?,Negative?,Team?,Individual?
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,GABE VINCENT,"It will be a tall task, and we'll continue to work at it.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,JIMMY BUTLER,"For me, yeah, you've got to attack and attack everybody, not just one individual. I have to do a better job of creating the help, one, two guys, and getting to my shooter, otherwise finishing at the rim, making shots.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,JIMMY BUTLER,"But we missed a lot tonight and we'll be better in Game 2. At the end of the day, that's what it is, and we'll take this and we'll learn from it, and we'll be back in two days.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,BRUCE BROWN JR,I don't think there's any secret. It's tough. But our game plan was trying not to foul. We know they're going to pump fake a lot. Jimmy is great at it. Gabe has been doing it. Bam has been doing it. So just trying to get our hands in the air and jump for everything.,,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,BRUCE BROWN JR,"Yeah, our second unit, we usually switch one through five because we've got Jeff at the 5. It just makes it a lot easier for us and the second unit. We can be more physical, more aggressive, and try to get stops and get out in transition.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,BRUCE BROWN JR,"Yeah, it was great. Everybody was on a string. Everybody knew what we were supposed to be doing. Huge shout-out to Mike Porter Jr.. I've seen a few things of him not being a great defender, but he was great for us tonight, challenging at the rim, getting blocks and rebounding. So, kudos to him.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,BRUCE BROWN JR,"Yeah, we were ready, but I was dead in the first. I'm going to be honest, I was cramping. But you've got to get used to the altitude every time we leave and come back, so I think we did a pretty good job.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,BAM ADEBAYO,"Definitely. And also, I made open shots. I made the shot that I usually shoot.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,BAM ADEBAYO,"Definitely. Definitely comfortable with the shots we took. You know, I felt like we had a lot of open shots tonight. Ball just didn't go in. That's part of the game.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,BAM ADEBAYO,But I feel like our shooters will bounce back.,,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,BAM ADEBAYO,"I feel like early in the game, miscommunications caused a lot of our guys to not talk enough. Miscommunications, and a lot of guys were open in the first half.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,BAM ADEBAYO,"I feel like going into the second half, we definitely got better with the cadence and talked through it more.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,BAM ADEBAYO,"I don't, honestly. I don't think that was part of the game anyway. I mean, we didn't -- I didn't even think about the altitude until you just said it. But the biggest thing is we just missed open shots. We took care of the ball. We got it where it was supposed to go. We just missed shots today.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,BAM ADEBAYO,We made history.,,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,BAM ADEBAYO,"No. I mean, when we got in the locker room and seen the stat sheet, I feel like that we were all shocked that we only had two free throws.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,HAYWOOD HIGHSMITH,"Yeah, Jamal, he's a three-level scorer He can shoot the three, he can pull up and get to the rim. Just got to make it difficult as much as possible. He's a crafty player, has a good handle. He's in good condition.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,HAYWOOD HIGHSMITH,"So I mean, we've got to just key in on him and just make it as tough as possible for him.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,HAYWOOD HIGHSMITH,"And yeah, I'll probably be guarding him a lot this series as well, and we have a lot of different guys who can guard him. So it will be interesting to see how we do.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,BAM ADEBAYO,"But like I said, I feel like we'll bounce back Game 2.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,HAYWOOD HIGHSMITH,"Yeah, I mean, this is the ultimate stage, the Finals. I've been prepared for it. I've been working at this my whole life. I'm built for this. You know, the ups and downs through the season I've been through and the ups and downs I've been through in my career.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,HAYWOOD HIGHSMITH,"So you know, I'm ready to go, and I'm built for this, like I said.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,BAM ADEBAYO,"If I do say something, will you take the fine? Laughter.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,BAM ADEBAYO,"Like I said, I just feel like we can't even get into that. You know, we can't let them dictate the game. I just feel like we took a lot of jumpshots, and we missed a lot of them instead of getting to the basket.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,01-Jun,BAM ADEBAYO,"Like I said, we're going to watch film and get back to the drawing board.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,31-May,CODY ZELLER,"I feel really fortunate because I've had a front-row seat to when he was undrafted and we signed him. To see kind of the highs and lows that he's gone through, in Charlotte getting a few opportunities with his brother, to being let go by the Hornets and then to where he's at now, being a huge piece in what we're doing here. To be in the Finals is really a testament to how hard he's worked. He's one of the ultimate competitors.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,31-May,CODY ZELLER,"Yeah, not too much. It's just really fun because it's all the media that you see here today, all the fans, millions of people watching at home, it all comes down to 10 people on the court, and that's what we live for. That's what we live for, the battle. At the end of the day, you've still got to line it up. We believe in the competitors that we have in our locker room, so we aren't afraid of anyone. We aren't afraid of the moment.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,31-May,CODY ZELLER,"It's definitely been a fun locker room to be a part of. For me having played with different organizations and played for 10 years, this is such a fun opportunity for me to play in the Finals but also just to be a part of this locker room.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,31-May,CODY ZELLER,"Yeah, obviously they're both super talented individually but also them working together. That's a lot of their fourth-quarter offense. It's a lot of what they go through. Obviously Murray can put up big numbers and Jokic can do a little bit of everything. Obviously he gets the rest of the guys involved. He can pass it. He's been shooting it incredibly well in the Playoffs.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,31-May,CODY ZELLER,So they can do a little bit of everything. There's no perfect way to guard it. There's no perfect matchup. But you just try to make it tough on them.,,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,31-May,CODY ZELLER,"I've been in the league for 10 years, and I've guarded him a lot. Not saying I've stopped him a lot, but I've guarded him a lot. I think that's the biggest thing is just having a little bit of experience. I think what he does best is pass, gets all of his teammates involved. Of course they make some easy buckets off of him.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,31-May,CODY ZELLER,"But you say that, and he's had some crazy scoring games, as well. It's not like you can only defend him against the pass.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,31-May,CODY ZELLER,"He's a handful. I'm sure it's going to be all hands on deck. Bam is a good defender, and I'm sure I'll get my try. I'm sure we'll try some smaller guys on him, try some bigger guys on him. It'll be kind of all hands on deck just to try to slow him down.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,31-May,CODY ZELLER,"We're really close. Actually I'm getting married in August, and Bobby is going to be one of my groomsmen. We're that close.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,31-May,CODY ZELLER,"He was one of the first people that reached out to me when I got drafted in Charlotte my rookie year. I didn't know a single person in Charlotte, 20 years old, moving away from home, and him and his wife, Tess, cooked me home-cooked meals once a week when I was in Charlotte. We played tennis together, ping-pong, board games. We'd do all kinds of stuff.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,31-May,CODY ZELLER,"He's become really good for me, as well, just because he's been -- he's won a championship, he's a Hall of Famer, but he also kind of puts things into perspective of there's more to life than just basketball, as well.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,31-May,GABE VINCENT,"This season has been interesting. We've had highs. We've had lows. Obviously we've made a push from the 8 seed to the Finals. We've showed a lot of resilience, a lot of persistence, a lot of belief in one another, and we're just excited for the opportunity that's ahead.",,,,
2023 - NBA FINALS: HEAT VS. NUGGETS,31-May,GABE VINCENT,"Yeah, obviously we take the experience from this past series into the next, but this is a totally different series now. We start from blank, we start from scratch. It's 0-0, and we just try to approach each game with the right mindset and just try to take care of business.",,,,
