event,date,person,quote,Positive?,Negative?,Team?,Individual?
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"Over the past few weeks and months we've announced several partnerships, including with Opill, SKIMS, Peloton, La Crema, Tissot. I've got my Tissot watch on here. We've also renewed partnerships with brands, including Glossier and Amazon, and CBS as media partners.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"WNBA tip-off 2024 will again be presented by CarMax, which became a WNBA Changemaker, our elite category of our corporate partners, and our others are ATT, Deloitte, Google, Nike and U.S. Bank. They continue to help us change the game for these players. Our Changemaker partners are a significant driver of our growth, and we are very appreciative of all their support. We look forward to adding more, including another one to be announced as we tip off this season.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"Our partners are committed to supporting women's sports. We're seeing the work of our broadcast and streaming partners, especially ESPN and ABC. If you build it, they will come. We just proved that in March Madness, and we'll bring that into the WNBA season.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"The growth and demand for the WNBA had led us to expansion, something that I know you all want to hear about. I've been very excited, as you all know. We announced a team in the Bay Area, with the Golden State Warriors coming in the '25 season. So one year from today, they will be here making a pick. With more news to come in the coming weeks and months on other potential markets to join in 2026 and beyond.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"That brings me to women's basketball is not a fad. We've been steadily building this momentum for years, and we are ready for what's next.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"Lastly, I have been very reflective over the past couple weeks with all the hype and talk about this draft class and the WNBA. Surviving the existential time of the WNBA wubble, raising that 75 million in capital in February of 2022 as the first women's sports league to do so at that scale, deploying it against our key priorities. Almost as if we knew we had to be ready for this moment, and we are.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"With that, thank you again for all your support. To those that have covered us over time, we thank you for your coverage. And for those of you that are new, to quote from our ad campaign, welcome to the W. We hope you stay.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"With that, we'll start our QA portion.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"I'll answer the latter first. As many of you know, we already announced that we are providing charter to our players through our full Playoffs, Commissioner's Cup and also the back-to-backs requiring air travel. Why that's important is this year there are a lot more back-to-backs requiring air travel because it's an Olympic year and we have an Olympic break. So we funded out of the league a 4 million fund to fund charter for this year.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"Again, as we build the momentum and build the economic model to fund that longer term, there's nobody that wants that more than I do for these players, but we have to be in the right financial position. We're not going to jeopardize the financial viability of this league. It was just a few years ago we were surviving, and now we're going from survive to thrive. So we'll do it at the appropriate time, and we've been chipping away at it every year and adding additional charter flights for the players.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"Media deal. So speaking of better travel, better pay and all that, sports, especially at league levels, you have two main revenue streams. One is your media rights, and the other is corporate partnerships. We've been really making great progress with the corporate partnership side. On the media side, I think women's media rights have been undervalued for so many years, just a microcosm by the way of the broader world that I came from before I came here. So I think it's really important that we're doing everything we can.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"This is an important year for us around viewership, around attendance, around all the qualitative and quantitative factors that go into the valuation of media rights, because as I've said to my team, there's not a day that we're not -- if we're not working on things that feed into the valuation of our next media rights, we're not focused on the right things.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"This is a really important focus for us. Our current deals go through the '25 season. So through October of '25. We do have some time, but we're gearing up for a combination of what that media rights package would look like.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"As you know, the media landscape continues to be enormously disrupted, with household and people using TV levels down, with obviously cord cutting, with streaming, with over-the-air. Obviously, there's a lot going on subscription-wise, cable. So we're looking at all of that disruption and determining what is the best deals with partners for the WNBA, including, again, traditional linear, streaming and over-the-air.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"So first, our plan and goal is to get to 16 teams in the next few years. We're at 13 with the Golden State team. Our plan is to get three more in the next few years.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"We're talking to a lot of different cities. I think I've thrown out names before. It's complex because you need arena and practice facility and player housing and all the things, you need committed long-term ownership groups. The nice thing is we're getting a lot of calls.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"We continue to engage with cities. I'll throw some of those out there because I've already thrown them out there. We continue to engage with cities like Philadelphia and Toronto, and Portland and Denver and Nashville and South Florida and probably forgetting one, but those are the cities we're talking to. But just last week we got calls from two other cities. These can either take a very long time to negotiate or can happen pretty quickly if you find the right ownership group with the right arena situation.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"We're on our way to 16. That will add 48 roster spots in just a couple of years. That, in a league of 144, is a lot. That's 30 percent. I think it'll be great when we get those done over the next couple years.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"Yeah, I think what's important is there's a reason the WNBA is the longest-tenured women's professional sports league in the country, and it's because the NBA has been such a great partner in launching this league, building this league and investing in this league. So to the extent it makes sense, I think what I heard Adam say, but to the extent it made sense to go to market together, that's what we'll do.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"I think as you look at streamers who have a subscription model, the WNBA gives the NBA longer programming across the year. I think Adam uses the quote of 320 I actually think it's more days. And there's no other set of two sports leagues that can offer that live programming and sports to a streamer like that. I would say probably in that case we need the NBA because we have a smaller footprint with only 40 games, and it's nice to go to market together.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"So where it makes sense to go together, we will. Where it makes sense -- so we have our own deals today that the NBA doesn't have, with Amazon, with CBS and with ION. So where it makes sense not to, we'll evaluate that and work with Adam and his team on that. We're just excited that we have a lot of interest from a lot of media partners in the W. We've got to deliver an amazing season this year in order to get, I think, the right-sized valuation.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"Yeah, I think everybody is watching those teams that are investing in the player experience. I'll call it more -- because it is more broad than just practice facility. There's a variety of things in player experience that can attract a player in free agency. And quite frankly, off of our 2020 very progressive and historic collective bargaining agreement, free agency opened up, as you've seen, some really interesting years of free agency that we didn't used to have.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"I think you see that investment. You'll see it pay off. I think there are other owners looking at the exact same thing. We have situations where, again, we have NBA-affiliated teams who already have great practice facilities.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"I think everybody is looking for an advantage to bring in free agents, because the one thing I know these long-term committed owners in the W are, they want to win a championship. I think practice facilities and other player experience have become very important as you seek free agents in the marketplace.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"See, we're a pretty good vault here at the WNBA. I'm not going to comment on any specific ownership group. We've had several ownership groups in several cities reach out to us. Sometimes in a city, two different ownership groups reach out. Again, we evaluate them through our process. We also evaluate the city, the demographic, the psychographic. That is my hometown, so I happen to know more about that. But we've done a big data exercise in research.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"Right, the one thing in sports, at the league level we love to bring in these corporate partners because then they can support our players across all of our teams. We've been able to establish that with our current WNBA Changemakers and other partners that aren't Changemakers. We upsell to Changemakers, like we did with CarMax. They were a partner, not a Changemaker, and they came to us and said we want to support the W in a bigger way. So we were able to upsell them, too.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"There are some open categories we have in a variety of categories. That's how we target who we want to be partners. But we also look at a values match. We also look at -- relationships matter, too. If we have relationships with the CEO or the CMO or someone in the C-suite, that's an important part because then you can turn that into a corporate partnership.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"Yes, I think with eyes on the game increasing at historic levels, obviously betting is not legal in every state. Integrity is No. 1 for us, so obviously we do a lot in that area. But certainly from a perspective of bringing in a fan base that might not have been in the WNBA before. We've had plenty of betting on WNBA in past years, but obviously I think FanDuel or one of the betting companies released a statistic about that LSU-Iowa game in the Elite Eight, and it was one of the highest bet games they had seen. I hadn't seen the data post that for the Final Four and the final game, but I'm sure a lot of people are paying attention, transcending age, race, gender from that perspective.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"That's what these WNBA players coming into this Draft tonight are going to do for us, and I think the attention and the views and bringing in another part of a fan base that might not have watched women's basketball before and now are following these household names.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"The one thing I know about sports, you need household names, rivalries and games of consequence. Those are the three things we've had over the past couple weeks, and hopefully will continue into the WNBA season. Certainly sports betting is something that attracts fans in.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"I think we need to work on this idea of watch and bet versus bet and watch because if you bet, maybe you don't watch, but if you watch and then bet, yeah, then you're probably bringing in a fan base we haven't had before.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"Integrity first. Obviously, it's not legal in every state in the U.S.. But as we start to see that -- and betting partners are supporting our teams, as well, in corporate sponsorships. So I think again, it's an important way to grow our viewership.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"Yeah, it's certainly something that -- that's why I started to answer this question with the integrity of the game is No. 1. It will remain No. 1 no matter how the handles grow and things like that. But people are going to bet on our sport, and we do a ton of training from the league, the team perspective. The Players Association I know has a rules of the road around this. I think it is really important.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"I was actually talking to the players last night, and I said I learned one thing when I was the CEO of Deloitte about juggling four things in life your work, your health, your family and your integrity. I said, when you juggle those balls, three of those balls are glass and if you drop them, they break, and those are family, health and integrity. The work ball is rubber. You can mess up and recover. But those three balls, so the integrity I think it's really important that the players understand they're big brands with big followership, more than any players have had coming into the league because of the popularity of the women's game at the NCAA level, and how important is integrity.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"It's accomplished by training. Do I worry about things like that? Sure, and everybody should in sports. But I do think it's happening around us, and if we're not cognizant of what's going on and how that can benefit the viewership of the league and things like that, so we don't want to leave that on the table, but we want to do it in the right way with the right guardrails around integrity. We have not, to my knowledge, had issues on that, but we'll continue to monitor it for sure.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"Obviously we have a team there, as well, and in other states, but they'll continue to make their impact on this particular issue, maternal health, reproductive rights. Actually, the charities that we'll be donating to as part of the Commissioner's Cup will be charities in that space, and the players, again, will use their voice because they know if they use their voice, change will happen for them.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"I think we'll just continue to obviously monitor. You're right, we decide on All-Stars now a year in advance. We're getting better at that. Therefore, we made this decision a year ago.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"Yeah, so it is great to actually inherit, I'll call it. Quite frankly, again, we didn't do what we did in the bubble in 2020 to have a season, which is existential for us, I'm not sure we're at this moment with these household names coming into our league, because there might have been nowhere to play had we been out of the sports landscape for 20 months. We certainly wouldn't have the momentum we all have in women's basketball and are enjoying.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"So I'm thrilled that we have household names coming in. We need to market around that. In fact, one of the things we did for the first time ever was we did a media ad buy from the Sweet 16 into the final for the WNBA. You might have seen them. I have a prop with me today. Rookie-O's. Arike was in one of the commercials and Stewie was in another, and we had another one predicting when the rookies come in.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"I know just from my circles in life, hearing people who are all talking about the WNBA, that we're going to be successful in that. But it is about marketing, so deployment of that capital in the marketing area. We've increased our marketing budget significantly for this year to capture just that, and I think we're already seeing the returns on that. We had 98 percent positive sentiment on this ad campaign. I mean, that's the W. Ninety-eight percent positive. We're really excited about that.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"We're trying a lot of different things now that we have some of that financial capital and human capital, because you need human capital, too, to grow. So we've been able to hire a lot of people in our marketing group, and we had very few when I came in. We have a Chief Marketing Officer now and we have the power of the NBA brand, too, helping us market.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,It's all shaping up to continue to take these household names and build new household names.,,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"I just want to step back and say how blessed I feel to be in women's basketball because it's not just this class, it's next year, the year after. I mean, Juju Watkins and Hannah Hidalgo, Kiki Rice, Paige Bueckers. The list goes on. Someone was out in Portland at the regional at the U-17, and they said, Cathy, you should see these players, U-17 players and how good they are and how good they're going to be. I feel very blessed that we'll have a long run at marketing household names and building rivalries in this league.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"Yeah, we continue to look at the data that comes through and where there's anomalies or unusual -- again, this year is going to be an unusual year overall because of our footprint with an Olympic break, about a three-week Olympic break. But I think next year we'll have a great footprint. We've continued to look at the data around injuries and the hardship system and things like that.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"We also continue to look at where the 10, 11, 12 players on our rosters fall as far as playing time and things like that.",,,,
2024 - WNBA DRAFT,April 15,CATHY ENGELBERT,"We'll continue to take a look at it. I think for now, the roster spots are going to remain at 12. But again, as I said, we're going to add 48 roster spots in probably a three-year period or so, and that's a lot. So we'll give a lot more -- I thought you were going to ask me because my goal is we have -- we need to give these players a lot more opportunities to play at the professional level, and that's what growth is. That's what's going to fund the growth, whether you talk about revenue, media deals, corporate partners, the more cities you're in. Again, longest-tenured league, 330 million people in this country, not enough to be in 12, so now we have 13, on our way to 16, and I think we can do even more after that.",,,,
2024 - WNBA DRAFT,April 15,AALIYAH EDWARDS,"For the first question, the moment, man, it was the moment for me. Right before the Commissioner said my name, I just looked down and thought to myself and said a little prayer, like it's your time, it's God's timing. She said my name, and that's when the water works started happening. Just super grateful for this moment and this opportunity.",,,,
2024 - WNBA DRAFT,April 15,AALIYAH EDWARDS,"Your second question with Shakira, great player. Followed her from D-I all the way to the W. I think I'm just happy to really get the opportunity to play alongside her. Such a great player. I think that she's going to elevate me. I can elevate her, too. But whatever impact I can take for this team and to this organization.",,,,
2024 - WNBA DRAFT,April 15,AALIYAH EDWARDS,"Very rewarding, and I think one of the things going into this league that I want to do is just expand my game. Might be asked to play a different role, but I'm open to it. I see myself as a versatile player and impacting in any position that I'm asked to play in.",,,,
2024 - WNBA DRAFT,April 15,AALIYAH EDWARDS,"Yeah, it's going to be a tough league, tough first year, but I'm pumped and I'm ready for the challenge.",,,,
2024 - WNBA DRAFT,April 15,AALIYAH EDWARDS,"Oh, my gosh, it's been a lot. Long days, a lot of long days. But once I hit the weekend, once I was with my fellow draftees, that's when I started really sinking in the moment and just being appreciative for being a part of this.",,,,
2024 - WNBA DRAFT,April 15,AALIYAH EDWARDS,"The W is the W, and it's a great league. I'm just super excited to be a part of it, but the process is no joke, for sure.",,,,
2024 - WNBA DRAFT,April 15,AALIYAH EDWARDS,"Oh, my gosh, just to have a dream like this and to actually walk through it, I said this out there, it's just amazing. A lot of people have dreams, but a lot of people aren't able to achieve it. For me to be fortunate enough to say that and to keep going and to keep pushing my dreams, it's just amazing.",,,,
2024 - WNBA DRAFT,April 15,AALIYAH EDWARDS,"I would say my message for the younger girls is just be confident, be who you are, but know your worth. I mean, coming from Canada, wasn't given as many opportunities as, say, my fellow draftees, but I made the best out of it, and I earned everything that I was given. Stay humble but let them know.",,,,
2024 - WNBA DRAFT,April 15,AALIYAH EDWARDS,"It feels great. I feel like the platform that I was given, even though at first I wasn't really sure that I was able to step into it, but I've had to step into it. I've had to kind of live in my truth because I know that a lot of young girls are looking up to me and a lot of people who are inspired to be like me are watching. You're not only playing for yourself, you're playing for those following behind you, and you're also playing for those who laid the groundwork in front of you.",,,,
2024 - WNBA DRAFT,April 15,AALIYAH EDWARDS,"Coming into the W, I respect that. I appreciate, I'm not going to say elders because I don't want them getting on me, but I appreciate our vets, and I'm going to soak up all the experience, but also knowing that I have a huge impact across the border in Canada and across the border in Asia, too.",,,,
2024 - WNBA DRAFT,April 15,MARQUESHA DAVIS,"I would say what excites me the most is coming into this Liberty team and learning from the vets that are there, and just going in and continuing to grow.",,,,
2024 - WNBA DRAFT,April 15,MARQUESHA DAVIS,I would say something that stood out to me is them looking basically for a two-way player and me being just that. So knowing that I can come in and be a two-way player and make an impact that way is something that I look forward to.,,,,
2024 - WNBA DRAFT,April 15,MARQUESHA DAVIS,"I would say I approach being on a team like that, just coming in each and every day, just getting in the gym and putting in that work to be able to do what those expectations are and just coming in and being ready.",,,,
2024 - WNBA DRAFT,April 15,CAITLIN CLARK,"Yeah, I think the biggest thing is definitely my passing. I think that's at times what gets overlooked in my game. I think the scoring and the long shots is what everybody falls in love with. Then obviously going to an organization that has, in my eyes, one of the best post players in the entire world. My point guard eyes just light up at that. And obviously, Aliyah has been one of my teammates before. I'm excited. I can't wait.",,,,
2024 - WNBA DRAFT,April 15,CAITLIN CLARK,"Honestly, I don't really feel like I have a rival. I think the biggest thing is the WNBA is so competitive right now. Every single time you step on the floor, it's going to be a rivalry. I think so many teams are loaded with so much talent. This is the most competitive league in the entire world. Less than 144 spots.",,,,
2024 - WNBA DRAFT,April 15,CAITLIN CLARK,"So you'd better bring it every single night, and I think that's exactly what I'm going to do. But I think that's exactly how I lived my college career, too, is every single game, no matter what the opponent was I prepped the exact same way, I prepared the same way, I brought the same fire, I brought the same energy. I think that's the biggest thing going into my WNBA career.",,,,
2024 - WNBA DRAFT,April 15,CAITLIN CLARK,"I think the biggest thing is I vividly remember Coach Bluder during my home visit in my recruiting. It was at the end of my junior year, I believe, or maybe the beginning of my junior year. Sometime during my junior year. I think the biggest thing is we talked about this moment, we dreamed of this moment, but she also believed I would be here and she coached me really hard to get to this moment.",,,,
