event,date,person,quote,Positive?,Negative?,Team?,Individual?
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,SANDY BRONDELLO,"I just thought what she brings, she has that X-factor. Her ability to make one-on-one plays, to rebound the ball, to play great defense. I mean, all of it. And then to finish plays. Finish plays.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,SANDY BRONDELLO,"So I prepared her. Really, really proud of her. I know she's had a lot of adversity over here career, but the biggest game of her career, and she really rose to the occasion. For a young player, that says a lot about her. I mean, the future is pretty bright.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,"I think what's incredible about Ny is if you look back at the semifinal series, she didn't really play. Then she stayed ready and knew that in the Finals, her time will come and she continued to stick with it. When we needed her most, because you were the X-factor tonight, Ny.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,"Listen, we were tired. We were trying to do whatever we could. We needed, like a spark and she was that. She continued to trust the process and we are so proud of Ny. So proud.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,JONQUEL JONES,"When I hugged Stewie, I was sobbing in her ear. I didn't say one word. I was just crying the whole time. I'm so happy to win and do it with her. We talked about it so much, about coming together and what we envisioned of what we wanted to do in New York, and what we could do, to be able to pull it off and accomplish a dream. It's so freaking hard to do. It just means a lot. It means a lot.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,JONQUEL JONES,"I told her this before, but I've watched Stewie be great for so long, in high school and then in college and then in the WNBA. For a long time, she was that person that I was kind of like chasing in college I want my game to be at her level and play against her in the WNBA and to ultimately be teammates.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,I think that first I had to bring the ball over half court because I didn't want to get an eight-second violation.,,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,"But then I think it was picture perfect to be able to embrace JJ. Really what I was saying was like, she led us. Her dominance in the paint, on the boards, help-side defense. Everything that we needed, she was there.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,JONQUEL JONES,Definitely was.,,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,"The wait was so, so, so worth it. We talked about it two years ago when it was free agency, and we wanted to come together. You look back and me, JJ, Sloot, we all came together to win a championship. Last year we lost in the Finals. But look at us, now we're here.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,THE MODERATOR,"There's no practice tomorrow, so....",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,SANDY BRONDELLO,"I was like, let's go. You know, I've won one championship. I've been in many Finals and competed for so long. It's hard to win because this league is so good. You need a little bit of luck on your side, but you also need talent. You also need talent, the right talent to put together.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,SANDY BRONDELLO,I think Jonathan Kolb did a really great job of getting these players to come to New York and sell the vision that we had here. We wanted to win. New York has never won before.,,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,SANDY BRONDELLO,Now we are going to go in the history books as the first ever. That makes me very proud. Because it's hard. People think it's easy.,,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,SANDY BRONDELLO,"Look, I was excited just to coach great talent. I didn't really know them that well. I knew Stewie probably a little bit more than JJ because I coached her wife, Marta, in Phoenix. Hopefully that helped a little bit to get her here.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,SANDY BRONDELLO,"It's a journey. So it's getting to know each other. I think it's been fun. Hey, let's not stop at one, though. Let's go for two.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,JONQUEL JONES,"I'm not really sure exactly when we flipped the switch. I just remember just like weathering the storm and us really talking about making sure we kept our emotions in check and that we just kept executing and that it was going to be a grind. I think obviously we came out with the win, but I don't really remember an exact moment where the switch was flipped.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,SANDY BRONDELLO,How big was Leo's three in the corner? I'm going to tell you this as a fact Whoever scores first in overtime usually wins. I was confident after that.,,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,Am I really the only New Yorker on this team? That is incredible.,,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,"Honestly, winning in Seattle was amazing and nothing takes away from that. But to be able to bring the first ever to the Liberty and the first in 51 years -- like you guys know, my first WNBA game I ever went to was at MSG, was the Liberty. And to have that be full circle was amazing.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,"And I was calm. I was ready because I knew that no matter what, the city was going to have our back. They showed up and they showed out, and they continued to be there for us when we needed. I'm so proud of this team but so happy to be able to bring the first championship here because the city deserves it.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,"Listen, I don't know what's going to happen. I don't know what's going to happen this next week, but I'm sure s--- is going to be crazy.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,NYARA SABALLY,Parade in the Bahamas.,,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,SANDY BRONDELLO,"Really, really proud of JJ. I love coaching her. I just love her personality, how she brings it every single day. She was big for us. It wasn't a pretty game today. But we were trying to establish her early. At both ends, she worked her butt off. Usually I don't like to play her 42 minutes, but she just stayed competing because that's how important it was. She knew how she needed to help us. She's been big for us. She's been big for us all season long but particularly these playoffs. She's amazing. We love you, JJ. So proud of you, mate. You deserve this. Your first one, baby.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,We want to have an exhibition game in the Bahamas next year.,,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,SANDY BRONDELLO Parade.,,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,NYARA SABALLY,"Parade, too.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,JONQUEL JONES,"Parade, too.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,JONQUEL JONES,"For me, just trying to get the infrastructure of the Bahamas to be a little bit better for sports and especially girls sports in the Bahamas to be a little bit better. I think you need more investment in sports in the Bahamas, to give the kids more games and to allow them to be able to have more developmental camps and different things going on. Just to have more people invested in it.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,JONQUEL JONES,"I want to make it my mission to help just grow the game in the Bahamas because we have so much natural talent. So many people that come out of the Bahamas go to the U.S. and go to school, end and up be being really successful. I would like the kids to be able to stay home in the Bahamas and stay with their families and then still be able to come to the U.S. to play professionally. That's the next step we have to take.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,JONQUEL JONES,"I'm really proud of my journey. I was talking to Rebecca Lobo earlier after shootaround and just basically telling her, I was doing this thing where we are about to run out after our theme or whatever and they would have the theme music playing. I would look up and be just taking everything in and just really being appreciative of the moment and just having a moment of gratitude without -- with all the chaos that was going on in the Finals, just a moment to just exhale, to breathe and just look around at all the things that we've been able to do, and all the people that are in the gym watching women's sports and the city, like Stewie said, really supporting us.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,NYARA SABALLY,"That's a big lineup right there. But I mean, it means a lot, obviously. She did say something at halftime. But I feel like throughout the whole season, it's been unwavering support, whether from Sandy or my teammates and in general, everybody in this organization has always kind of believed in me, which means so much. They drafted me knowing I had to sit out a year. That just shows how much trust they have in me.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,NYARA SABALLY,"I feel like this whole season, every time I'm on the floor, my teammates have my back and tell me just to keep going, work hard. It means the world to be able to have players like Stewie and JJ, who I've looked up to my whole career, be my teammates, and now win a championship with them. That's something that I will remember forever.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,"It's really hard to compare the Olympics to this moment. Especially with Team USA, because at the Olympics, we were going for eight straight gold medals. The pressure is insane, but also the pressure bringing a championship to a city that has never had one, especially in the WNBA, has been a lot.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,"I don't know, this is something that I think I'll be remembering forever, and each Olympics I also remember forever. But the time together is so short. Like, it's three weeks.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,"But like, this is my team. This is my squad. We continue to go to battles together. With the Olympics, you come together for a few days. You have practice and then you go and you play exhibition games against Germany in London, and it's hard to build that chemistry and stuff. But you just know you're Team USA and here now, we're New York Liberty.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,"I don't think I answered your question, but each one is really special, and they are not comparable.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,"Yeah, this one? This is more personal. This is more personal because I'm from New York. I'm from upstate. I came here for a reason, and that's to win a championship.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,NYARA SABALLY,Thank you for that shaking Breanna's hand.,,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,SANDY BRONDELLO,You speak German? Go for it.,,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,NYARA SABALLY,"Really it's just the mental preparation of staying ready and being locked in, knowing that whenever you have -- like whatever minutes you get, that's what you get and you need to be ready to go on the floor. Because our team has such a high standard, and really, to be able to live up to that, you have to be mentally ready. Otherwise, you'll just kind of hurt the team in the long run.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,NYARA SABALLY,"But with great teammates like that, it's kind of easy to just get on the floor and leave it all out there. Because my role is pretty simple Run the floor, get rebounds and maybe shoot some buckets. But they make it really easy. They make it really easy for me. It's just like I always said, there's so much talent on the floor, and just being able to bring something to that is just something everybody dreams of.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,"Pepper, we got you. We got you. But it's not tomorrow.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,SANDY BRONDELLO,"I just went in and told them what I saw and what we needed to do, the adjustments. Obviously I didn't think we were playing with the right amount of urgency. Things were a little too easy for them, and so I just encouraged them. Hey, let's go, 20 more minutes. Then I talked about the big lineup. Be ready for the big lineup. I just thought, I was thinking that all day today, and if things are going hard, we're fatigued. It's been a grueling schedule, five games, and that's a tough team, just the way that they make us work really hard.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,I'll talk for the players.,,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,NYARA SABALLY,"Yes, please.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,"I think what we said was Minnesota, they had 34 points at halftime. Our offense wasn't coming easy, but eventually it was going to come through. Continue to shoot your shots with confidence. But if it's going to be an ugly game, we will win ugly. We've talked about first five minutes, first five minutes, whatever. No. Third quarter. Third quarter is going to be our quarter, especially with the city behind us and the fans behind us. We came out and continued to execute. I think throughout the entire game, we talked about coming together. Huddling, talking about schemes, making sure everybody is calm and confident. And we did that.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,SANDY BRONDELLO,"Yes, we did.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,"Whether we were down at half, the score was so low. The WNBA needs to figure out rest days in between all these games, I'm just saying laughter.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,NYARA SABALLY,Seven games next year.,,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,Basically we knew we had more in the tank to give and 20 more minutes for the end of the season.,,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 20,BREANNA STEWART,"I felt like, because I was just thinking about today, and it's like whether we win or lose, we want to put it all on the line. Because last year when we lost, there was more in the tank. And this year, that wasn't happening.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 18,CHERYL REEVE,"For sure. All season long, Lan has been in those positions for us. Just appreciate her ability to turn around and buck up and do what her team needed her to do. She's important. Important for her to be on the floor for us.",,,,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 18,CHERYL REEVE,"I thought it was obvious what we were trying to do. We went four flat and said, Court, make a play. The last thing we said was, we've got to get the last shot. Didn't want to shoot too early. Make sure we get the last shot.",,,,
