event,date,person,quote
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 6,JAYLEN BROWN,"Yeah, was it the first or second quarter? He just went on a run where he just, he hit the three, hit the middy, then ran back, got the block at the rim in transition. He was just making play after play and it was just like, all right, he's back, there was no question about it then. We need some more that have going forward for the rest of this series."
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 5,DERRICK WHITE,They're two of the most talented guards this league has seen. It's going to be a challenge for all of us. It's not going to be one-on-one we all have to participate.
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 5,DERRICK WHITE,They're two of the best this league has ever seen. It's going to be a lot of fun. Just have to embrace that challenge.
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 5,DERRICK WHITE,Pray they miss laughter. They're special. They make tough shots. You just got to try to make it difficult for them for 48 minutes and embrace that challenge.
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 5,DERRICK WHITE,"You got to know the personnel. You're just competing. We've been switching a lot all year. Whoever has that challenge, just got to know that it's not just you on an island we're all going to be there behind them. Just embracing that challenge, competing and trying to make it as difficult as we can."
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 5,DERRICK WHITE,"I mean, obviously there's a lot of history between the two. I think once we get in between the lines and the game starts, it's just going to be a competitive game. We're just going to go out there and compete. I know he's going to do the same."
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 5,DERRICK WHITE,"Yeah, I think at the time we didn't have anybody who had any Finals experience. So obviously we've learned a lot from that Finals a couple years ago. Obviously adding KP and Jrue, all the experience they have."
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 5,DERRICK WHITE,"I think it's going to be different. Everybody is looking forward to it and embracing the challenge. This is the NBA Finals, it's what you dream about. It's going to be a challenge."
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 5,DERRICK WHITE,"I think everybody's excited, honestly. It's been a long break. A good week of practice. Everybody is looking forward to it. Like I said, this is what you dream about. Whatever it takes we got to be willing to do. We've been working for this moment the whole season."
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 5,DERRICK WHITE,Yeah. It's going to be here tomorrow. It's going to be fun. There's going to be a lot going on. A big challenge and have fun with it.
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 5,DERRICK WHITE,"We didn't want to skip any steps the whole season. Obviously, the outside noise is going to be there no matter what we do. So this whole year we didn't want to skip steps. I think we did a really good job of that in the regular season and the postseason."
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 5,DERRICK WHITE,"Just continue to take it one day at a time, one game at a time. Just understand there are going to be ups, there's going to be downs. Just embrace it."
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 5,DERRICK WHITE,"Yeah, I mean, you're here, you see all the banners, all the history. It's in our practice facility. You just dream about being part of that. Obviously the great history that the Celtics have."
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 5,DERRICK WHITE,I think we all just embraced it and are thankful and grateful to be a part of this organization.
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 5,DERRICK WHITE,"This is what it's all about here in Boston, this stage, this moment. We understand the challenges of it. We're just looking forward to it. We're going to have fun. There's going to be ups, there's going to be downs. We may lose, but we got to go out there and compete each and every night. Whatever it takes to get four wins."
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 5,PAYTON PRITCHARD,"I mean, it's crazy. This is like the biggest stage in basketball. To reach this point, have the opportunity to come out here and perform and help my team win the championship, it's an honor. Hopefully we can get it done."
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 5,PAYTON PRITCHARD,"I would have the belief in myself that I could do it. I always dreamed of being in the NBA. I knew I worked really hard to make it. So I guess in a way, yeah, I believed in it. It's the only reason I would work every day like I did, I had the belief in that dream, so yeah."
